State,County Name,countyFIPS,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AL,Autauga County,1001,2020-12-23,40.0,35.0,,,-37.0,7.0
AL,Baldwin County,1003,2020-12-23,19.0,42.0,36.0,8.0,-33.0,3.0
AL,Barbour County,1005,2020-12-23,,,,,-28.0,4.0
AL,Bibb County,1007,2020-12-23,,,,,-28.0,
AL,Blount County,1009,2020-12-23,23.0,22.0,,,-37.0,8.0
AL,Bullock County,1011,2020-12-23,,,,,-26.0,
AL,Butler County,1013,2020-12-23,,17.0,,,-28.0,
AL,Calhoun County,1015,2020-12-23,26.0,27.0,,,-35.0,5.0
AL,Chambers County,1017,2020-12-23,29.0,34.0,,,-35.0,6.0
AL,Cherokee County,1019,2020-12-23,,29.0,,,-31.0,7.0
AL,Chilton County,1021,2020-12-23,32.0,37.0,,20.0,-34.0,5.0
AL,Choctaw County,1023,2020-12-23,,,,,-27.0,
AL,Clarke County,1025,2020-12-23,,31.0,,,-28.0,
AL,Clay County,1027,2020-12-23,,,,,-31.0,
AL,Cleburne County,1029,2020-12-23,,,,35.0,-25.0,
AL,Coffee County,1031,2020-12-23,31.0,42.0,,,-39.0,5.0
AL,Colbert County,1033,2020-12-23,18.0,23.0,,6.0,-30.0,5.0
AL,Conecuh County,1035,2020-12-23,,,,26.0,-19.0,
AL,Coosa County,1037,2020-12-23,,,,,-25.0,
AL,Covington County,1039,2020-12-23,35.0,41.0,,,-26.0,4.0
AL,Crenshaw County,1041,2020-12-23,,,,,-34.0,
AL,Cullman County,1043,2020-12-23,18.0,45.0,42.0,-4.0,-31.0,5.0
AL,Dale County,1045,2020-12-23,7.0,28.0,,2.0,-34.0,5.0
AL,Dallas County,1047,2020-12-23,13.0,25.0,,,-32.0,4.0
AL,DeKalb County,1049,2020-12-23,30.0,40.0,,,-25.0,5.0
AL,Elmore County,1051,2020-12-23,43.0,55.0,,,-37.0,7.0
AL,Escambia County,1053,2020-12-23,24.0,35.0,,,-33.0,4.0
AL,Etowah County,1055,2020-12-23,26.0,32.0,,,-30.0,5.0
AL,Fayette County,1057,2020-12-23,,,,,-26.0,
AL,Franklin County,1059,2020-12-23,,42.0,,,-30.0,4.0
AL,Geneva County,1061,2020-12-23,,,,,-31.0,3.0
AL,Greene County,1063,2020-12-23,,,,-71.0,-33.0,
AL,Hale County,1065,2020-12-23,,,,,-32.0,
AL,Henry County,1067,2020-12-23,,,,,-30.0,
AL,Houston County,1069,2020-12-23,35.0,35.0,,8.0,-28.0,4.0
AL,Jackson County,1071,2020-12-23,33.0,38.0,,,-27.0,5.0
AL,Jefferson County,1073,2020-12-23,8.0,26.0,-36.0,-8.0,-39.0,8.0
AL,Lamar County,1075,2020-12-23,,,,,-28.0,
AL,Lauderdale County,1077,2020-12-23,48.0,56.0,,,-27.0,7.0
AL,Lawrence County,1079,2020-12-23,,,,,-31.0,6.0
AL,Lee County,1081,2020-12-23,14.0,56.0,,,-38.0,8.0
AL,Limestone County,1083,2020-12-23,27.0,38.0,19.0,,-37.0,10.0
