,Unnamed: 0,State,StateFIPS,County Name,countyFIPS,Date,Total Cases,Incremental Cases,cases moving_avg,Total Deaths,Inc Deaths,death moving_avg,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
343,1095199,AL,1,Statewide Unallocated,0,12/30/20,0,0,0,0,0,-0.142857143,,,,,,,,,,,,,,,
1080,1095200,AL,1,Autauga County ,1001,12/30/20,4164,59,39.28571429,48,1,0.285714286,US,United States,Alabama,Autauga County,,,1001,ChIJg9z7ewWPjogRA_8QrB0va7o,12/30/20,12,5,,,-39,11
1817,1095201,AL,1,Baldwin County ,1003,12/30/20,13392,220,153,160,4,1.285714286,US,United States,Alabama,Baldwin County,,,1003,ChIJMRERvxBnmogR0K_9O08dxDw,12/30/20,10,21,51,0,-36,6
2554,1095202,AL,1,Barbour County ,1005,12/30/20,1492,30,15.57142857,32,0,0,US,United States,Alabama,Barbour County,,,1005,ChIJtUJfgR1tjYgRAjFO7yq2nuI,12/30/20,22,,,,-31,
3291,1095203,AL,1,Bibb County ,1007,12/30/20,1817,25,19.14285714,46,4,0.571428571,US,United States,Alabama,Bibb County,,,1007,ChIJEdvIA8szj4gRU_XpIL_1cSw,12/30/20,,,,,-32,
4028,1095204,AL,1,Blount County ,1009,12/30/20,4584,49,31,63,5,0.857142857,US,United States,Alabama,Blount County,,,1009,ChIJdcUJhYeXiYgRERpotPlZFfs,12/30/20,3,4,,,-39,11
4765,1095205,AL,1,Bullock County ,1011,12/30/20,846,12,11.57142857,20,0,0,US,United States,Alabama,Bullock County,,,1011,ChIJcXKpowinjYgR2bm-CFekO9E,12/30/20,,,,,-32,
5502,1095206,AL,1,Butler County ,1013,12/30/20,1493,11,10,45,0,0,US,United States,Alabama,Butler County,,,1013,ChIJvwuytCw6jogR94Yjx8idafg,12/30/20,,-6,,,-37,
6239,1095207,AL,1,Calhoun County ,1015,12/30/20,9428,83,65.71428571,155,6,1.428571429,US,United States,Alabama,Calhoun County,,,1015,ChIJGyBy4YNNiogRE-jfYYjjehM,12/30/20,1,0,,,-41,10
6976,1095208,AL,1,Chambers County ,1017,12/30/20,2310,35,19.14285714,62,1,0.142857143,US,United States,Alabama,Chambers County,,,1017,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,12/30/20,3,7,,,-42,11
7713,1095209,AL,1,Cherokee County ,1019,12/30/20,1403,10,10.57142857,22,-1,-0.142857143,US,United States,Alabama,Cherokee County,,,1019,ChIJW8evmPRiiogROnAqHB76oCA,12/30/20,,8,,,-30,10
8450,1095210,AL,1,Chilton County ,1021,12/30/20,2913,48,20,54,0,0.428571429,US,United States,Alabama,Chilton County,,,1021,ChIJS3kV4bHJjogROXThhEVi6WQ,12/30/20,13,11,,10,-39,8
9187,1095211,AL,1,Choctaw County ,1023,12/30/20,488,0,0.714285714,22,0,0,US,United States,Alabama,Choctaw County,,,1023,ChIJudf5RKvhhIgRL_9Xfo0IOS8,12/30/20,,,,,-25,
9924,1095212,AL,1,Clarke County ,1025,12/30/20,2357,25,18.85714286,25,0,0,US,United States,Alabama,Clarke County,,,1025,ChIJQZySLbnLmogRyygQkshn9-Q,12/30/20,11,5,,,-32,
10661,1095213,AL,1,Clay County ,1027,12/30/20,1131,15,6.857142857,34,0,0,US,United States,Alabama,Clay County,,,1027,ChIJ7SnMwYOTi4gRQ2Kp7tU2TTU,12/30/20,,,,,-32,
11398,1095214,AL,1,Cleburne County ,1029,12/30/20,1011,6,4.857142857,16,0,0,US,United States,Alabama,Cleburne County,,,1029,ChIJMbmDk2T_iogREnEFcAKu3co,12/30/20,,,,30,-31,
12135,1095215,AL,1,Coffee County ,1031,12/30/20,3536,61,32,38,0,0.285714286,US,United States,Alabama,Coffee County,,,1031,ChIJY8xZwLgTkogRzT0BJZXvy-A,12/30/20,8,14,,,-42,8
12872,1095216,AL,1,Colbert County ,1033,12/30/20,4573,73,41.85714286,60,1,0.285714286,US,United States,Alabama,Colbert County,,,1033,ChIJx9RdR4pDfYgRwXFUhyjJkjI,12/30/20,1,0,,-10,-33,8
13609,1095217,AL,1,Conecuh County ,1035,12/30/20,835,3,2.571428571,17,0,0.142857143,US,United States,Alabama,Conecuh County,,,1035,ChIJ-cexfRYwkIgRKRXsDVi20AM,12/30/20,,,,22,-25,
14346,1095218,AL,1,Coosa County ,1037,12/30/20,501,8,4.142857143,7,0,0.142857143,US,United States,Alabama,Coosa County,,,1037,ChIJO38NpV-qjogR_DGYR1a7hfg,12/30/20,,,,,-37,
15083,1095219,AL,1,Covington County ,1039,12/30/20,2868,12,12.85714286,38,0,0,US,United States,Alabama,Covington County,,,1039,ChIJL6eZvYO9kYgR8JpPeJgyi8I,12/30/20,11,10,,,-30,8
15820,1095220,AL,1,Crenshaw County ,1041,12/30/20,939,10,8.714285714,36,0,0,US,United States,Alabama,Crenshaw County,,,1041,ChIJazOdWMQHjogRss6g43wnKB0,12/30/20,,,,,-44,
16557,1095221,AL,1,Cullman County ,1043,12/30/20,6989,127,56.85714286,76,0,0.857142857,US,United States,Alabama,Cullman County,,,1043,ChIJ80bNgkhOiIgR2OiZAIYFOOI,12/30/20,-1,5,48,3,-38,10
17294,1095222,AL,1,Dale County ,1045,12/30/20,3283,53,25,63,0,0.285714286,US,United States,Alabama,Dale County,,,1045,ChIJdZZpSW99kogR5F9J6CBlYd0,12/30/20,-6,9,,5,-36,9
18031,1095223,AL,1,Dallas County ,1047,12/30/20,2744,18,13.57142857,39,0,0.142857143,US,United States,Alabama,Dallas County,,,1047,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,12/30/20,-2,6,,,-36,7
18768,1095224,AL,1,DeKalb County ,1049,12/30/20,6812,31,29,59,0,0.571428571,US,United States,Alabama,DeKalb County,,,1049,ChIJxy4_RT7ZYYgR6zftJTvIIBU,12/30/20,10,8,,,-29,9
19505,1095225,AL,1,Elmore County ,1051,12/30/20,6321,134,78.28571429,82,1,0.285714286,US,United States,Alabama,Elmore County,,,1051,ChIJ6aOPm3OcjogRrQGwkMQLNAA,12/30/20,17,15,,,-40,10
20242,1095226,AL,1,Escambia County ,1053,12/30/20,2637,42,21.28571429,34,0,0,US,United States,Alabama,Escambia County,,,1053,ChIJzY1jedVekIgRMfynHUnNNPY,12/30/20,6,-2,,,-33,7
20979,1095227,AL,1,Etowah County ,1055,12/30/20,9937,111,83.14285714,90,0,-0.142857143,US,United States,Alabama,Etowah County,,,1055,ChIJATNm2KgQiogR8kdQnflzDDQ,12/30/20,9,6,,,-36,9
21716,1095228,AL,1,Fayette County ,1057,12/30/20,1416,10,11.85714286,19,0,0,US,United States,Alabama,Fayette County,,,1057,ChIJrWUdBMbAh4gRpBTF8Lnhl2A,12/30/20,,,,,-29,
