,countyFIPS,County.Name,State,StateFIPS,date,date_with_x,Total_Cases
1,0,Statewide Unallocated,CA,6,2020.01.22,X2020.01.22,0
2,6001,Alameda County ,CA,6,2020.01.22,X2020.01.22,4
3,6003,Alpine County ,CA,6,2020.01.22,X2020.01.22,0
4,6005,Amador County ,CA,6,2020.01.22,X2020.01.22,1
5,6007,Butte County ,CA,6,2020.01.22,X2020.01.22,0
6,6009,Calaveras County ,CA,6,2020.01.22,X2020.01.22,2
7,6011,Colusa County ,CA,6,2020.01.22,X2020.01.22,0
8,6013,Contra Costa County ,CA,6,2020.01.22,X2020.01.22,8
9,6015,Del Norte County ,CA,6,2020.01.22,X2020.01.22,0
10,6017,El Dorado County ,CA,6,2020.01.22,X2020.01.22,0
11,6019,Fresno County ,CA,6,2020.01.22,X2020.01.22,4
12,6021,Glenn County ,CA,6,2020.01.22,X2020.01.22,2
13,6023,Humboldt County ,CA,6,2020.01.22,X2020.01.22,3
14,6025,Imperial County ,CA,6,2020.01.22,X2020.01.22,5
15,6027,Inyo County ,CA,6,2020.01.22,X2020.01.22,0
16,6029,Kern County ,CA,6,2020.01.22,X2020.01.22,7
17,6031,Kings County ,CA,6,2020.01.22,X2020.01.22,13
18,6033,Lake County ,CA,6,2020.01.22,X2020.01.22,0
19,6035,Lassen County ,CA,6,2020.01.22,X2020.01.22,0
20,6037,Los Angeles County ,CA,6,2020.01.22,X2020.01.22,375
21,6039,Madera County ,CA,6,2020.01.22,X2020.01.22,3
22,6041,Marin County ,CA,6,2020.01.22,X2020.01.22,6
23,6043,Mariposa County ,CA,6,2020.01.22,X2020.01.22,0
24,6045,Mendocino County ,CA,6,2020.01.22,X2020.01.22,0
25,6047,Merced County ,CA,6,2020.01.22,X2020.01.22,2
26,6049,Modoc County ,CA,6,2020.01.22,X2020.01.22,0
27,6051,Mono County ,CA,6,2020.01.22,X2020.01.22,1
28,6053,Monterey County ,CA,6,2020.01.22,X2020.01.22,1
29,6055,Napa County ,CA,6,2020.01.22,X2020.01.22,1
30,6057,Nevada County ,CA,6,2020.01.22,X2020.01.22,4
31,6059,Orange County ,CA,6,2020.01.22,X2020.01.22,8
32,6061,Placer County ,CA,6,2020.01.22,X2020.01.22,3
33,6063,Plumas County ,CA,6,2020.01.22,X2020.01.22,0
34,6065,Riverside County ,CA,6,2020.01.22,X2020.01.22,60
35,6067,Sacramento County ,CA,6,2020.01.22,X2020.01.22,1
36,6069,San Benito County ,CA,6,2020.01.22,X2020.01.22,4
37,6071,San Bernardino County ,CA,6,2020.01.22,X2020.01.22,76
38,6073,San Diego County ,CA,6,2020.01.22,X2020.01.22,0
39,6075,City and County of San Francisco,CA,6,2020.01.22,X2020.01.22,11
40,6077,San Joaquin County ,CA,6,2020.01.22,X2020.01.22,7
41,6079,San Luis Obispo County ,CA,6,2020.01.22,X2020.01.22,14
