,Unnamed: 0,State,StateFIPS,County Name,countyFIPS,Date,Total Cases,Incremental Cases,cases moving_avg,Total Deaths,Inc Deaths,death moving_avg,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2269223,209,CA,6,Los Angeles County ,6037,2020-01-22,375,,,0,,,,,,,,,,,,,,,,,
2269224,3402,CA,6,Los Angeles County ,6037,2020-01-23,379,4.0,,0,0.0,,,,,,,,,,,,,,,,
2269225,6595,CA,6,Los Angeles County ,6037,2020-01-24,382,3.0,,0,0.0,,,,,,,,,,,,,,,,
2269226,9788,CA,6,Los Angeles County ,6037,2020-01-25,384,2.0,,0,0.0,,,,,,,,,,,,,,,,
2269227,12981,CA,6,Los Angeles County ,6037,2020-01-26,385,1.0,,0,0.0,,,,,,,,,,,,,,,,
2269228,16174,CA,6,Los Angeles County ,6037,2020-01-27,388,3.0,,0,0.0,,,,,,,,,,,,,,,,
2269229,19367,CA,6,Los Angeles County ,6037,2020-01-28,390,2.0,,0,0.0,,,,,,,,,,,,,,,,
2269230,22560,CA,6,Los Angeles County ,6037,2020-01-29,391,1.0,2.2857142857142856,0,0.0,0.0,,,,,,,,,,,,,,,
2269231,25753,CA,6,Los Angeles County ,6037,2020-01-30,392,1.0,1.8571428571428568,0,0.0,0.0,,,,,,,,,,,,,,,
2269232,28946,CA,6,Los Angeles County ,6037,2020-01-31,401,9.0,2.7142857142857144,0,0.0,0.0,,,,,,,,,,,,,,,
2269233,32139,CA,6,Los Angeles County ,6037,2020-02-01,416,15.0,4.571428571428571,0,0.0,0.0,,,,,,,,,,,,,,,
2269234,35332,CA,6,Los Angeles County ,6037,2020-02-02,14,-402.0,-53.0,0,0.0,0.0,,,,,,,,,,,,,,,
2269235,38525,CA,6,Los Angeles County ,6037,2020-02-03,15,1.0,-53.28571428571429,0,0.0,0.0,,,,,,,,,,,,,,,
2269236,41718,CA,6,Los Angeles County ,6037,2020-02-04,17,2.0,-53.28571428571429,0,0.0,0.0,,,,,,,,,,,,,,,
2269237,44911,CA,6,Los Angeles County ,6037,2020-02-05,17,0.0,-53.42857142857143,0,0.0,0.0,,,,,,,,,,,,,,,
2269238,48104,CA,6,Los Angeles County ,6037,2020-02-06,18,1.0,-53.42857142857143,0,0.0,0.0,,,,,,,,,,,,,,,
2269239,51297,CA,6,Los Angeles County ,6037,2020-02-07,18,0.0,-54.714285714285715,0,0.0,0.0,,,,,,,,,,,,,,,
2269240,54490,CA,6,Los Angeles County ,6037,2020-02-08,20,2.0,-56.57142857142857,0,0.0,0.0,,,,,,,,,,,,,,,
2269241,57683,CA,6,Los Angeles County ,6037,2020-02-09,21,1.0,1.0,0,0.0,0.0,,,,,,,,,,,,,,,
2269242,60876,CA,6,Los Angeles County ,6037,2020-02-10,25,4.0,1.4285714285714286,0,0.0,0.0,,,,,,,,,,,,,,,
2269243,64069,CA,6,Los Angeles County ,6037,2020-02-11,28,3.0,1.5714285714285714,0,0.0,0.0,,,,,,,,,,,,,,,
2269244,67262,CA,6,Los Angeles County ,6037,2020-02-12,30,2.0,1.8571428571428568,0,0.0,0.0,,,,,,,,,,,,,,,
2269245,70455,CA,6,Los Angeles County ,6037,2020-02-13,31,1.0,1.8571428571428568,0,0.0,0.0,,,,,,,,,,,,,,,
2269246,73648,CA,6,Los Angeles County ,6037,2020-02-14,33,2.0,2.142857142857143,0,0.0,0.0,,,,,,,,,,,,,,,
2269247,76841,CA,6,Los Angeles County ,6037,2020-02-15,38,5.0,2.571428571428572,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-15,1.0,0.0,13.0,-1.0,-1.0,0.0
2269248,80034,CA,6,Los Angeles County ,6037,2020-02-16,43,5.0,3.1428571428571432,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-16,4.0,-1.0,27.0,-1.0,0.0,-1.0
2269249,83227,CA,6,Los Angeles County ,6037,2020-02-17,46,3.0,3.0,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-17,7.0,0.0,30.0,-11.0,-32.0,7.0
2269250,86420,CA,6,Los Angeles County ,6037,2020-02-18,53,7.0,3.571428571428572,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-18,-1.0,0.0,11.0,2.0,2.0,0.0
2269251,89613,CA,6,Los Angeles County ,6037,2020-02-19,56,3.0,3.7142857142857135,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-19,-1.0,-1.0,13.0,1.0,2.0,0.0
2269252,92806,CA,6,Los Angeles County ,6037,2020-02-20,59,3.0,4.0,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-20,1.0,0.0,11.0,2.0,2.0,-1.0
2269253,95999,CA,6,Los Angeles County ,6037,2020-02-21,65,6.0,4.571428571428571,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-21,1.0,0.0,7.0,0.0,2.0,0.0
2269254,99192,CA,6,Los Angeles County ,6037,2020-02-22,67,2.0,4.142857142857143,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-22,-1.0,-1.0,-13.0,-5.0,1.0,1.0
2269255,102385,CA,6,Los Angeles County ,6037,2020-02-23,69,2.0,3.7142857142857135,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-23,4.0,1.0,13.0,0.0,2.0,0.0
2269256,105578,CA,6,Los Angeles County ,6037,2020-02-24,71,2.0,3.571428571428572,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-24,1.0,-1.0,8.0,2.0,4.0,-1.0
2269257,108771,CA,6,Los Angeles County ,6037,2020-02-25,80,9.0,3.8571428571428568,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-25,2.0,1.0,13.0,3.0,3.0,-1.0
2269258,111964,CA,6,Los Angeles County ,6037,2020-02-26,86,6.0,4.285714285714286,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-26,3.0,2.0,11.0,2.0,3.0,-1.0
2269259,115157,CA,6,Los Angeles County ,6037,2020-02-27,101,15.0,6.0,0,0.0,0.0,US,United States,California,Los Angeles County,,,6037.0,ChIJMc1kAdMq3YARKjm9z9YofYM,2020-02-27,3.0,2.0,14.0,3.0,2.0,-1.0
