,Unnamed: 0,State,StateFIPS,County Name,countyFIPS,Date,Total Cases,Incremental Cases,cases moving_avg,Total Deaths,Inc Deaths,death moving_avg,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2277330,220,CA,6,Orange County ,6059,2020-01-22,8,,,0,,,,,,,,,,,,,,,,,
2277331,3413,CA,6,Orange County ,6059,2020-01-23,8,0.0,,0,0.0,,,,,,,,,,,,,,,,
2277332,6606,CA,6,Orange County ,6059,2020-01-24,9,1.0,,0,0.0,,,,,,,,,,,,,,,,
2277333,9799,CA,6,Orange County ,6059,2020-01-25,9,0.0,,0,0.0,,,,,,,,,,,,,,,,
2277334,12992,CA,6,Orange County ,6059,2020-01-26,9,0.0,,0,0.0,,,,,,,,,,,,,,,,
2277335,16185,CA,6,Orange County ,6059,2020-01-27,9,0.0,,0,0.0,,,,,,,,,,,,,,,,
2277336,19378,CA,6,Orange County ,6059,2020-01-28,9,0.0,,0,0.0,,,,,,,,,,,,,,,,
2277337,22571,CA,6,Orange County ,6059,2020-01-29,9,0.0,0.14285714285714285,0,0.0,0.0,,,,,,,,,,,,,,,
2277338,25764,CA,6,Orange County ,6059,2020-01-30,10,1.0,0.2857142857142857,0,0.0,0.0,,,,,,,,,,,,,,,
2277339,28957,CA,6,Orange County ,6059,2020-01-31,10,0.0,0.14285714285714285,0,0.0,0.0,,,,,,,,,,,,,,,
2277340,32150,CA,6,Orange County ,6059,2020-02-01,13,3.0,0.5714285714285714,0,0.0,0.0,,,,,,,,,,,,,,,
2277341,35343,CA,6,Orange County ,6059,2020-02-02,3,-10.0,-0.8571428571428571,0,0.0,0.0,,,,,,,,,,,,,,,
2277342,38536,CA,6,Orange County ,6059,2020-02-03,3,0.0,-0.8571428571428571,0,0.0,0.0,,,,,,,,,,,,,,,
2277343,41729,CA,6,Orange County ,6059,2020-02-04,3,0.0,-0.8571428571428571,0,0.0,0.0,,,,,,,,,,,,,,,
2277344,44922,CA,6,Orange County ,6059,2020-02-05,4,1.0,-0.7142857142857143,0,0.0,0.0,,,,,,,,,,,,,,,
2277345,48115,CA,6,Orange County ,6059,2020-02-06,4,0.0,-0.8571428571428571,0,0.0,0.0,,,,,,,,,,,,,,,
2277346,51308,CA,6,Orange County ,6059,2020-02-07,5,1.0,-0.7142857142857143,0,0.0,0.0,,,,,,,,,,,,,,,
2277347,54501,CA,6,Orange County ,6059,2020-02-08,35,30.0,3.1428571428571432,0,0.0,0.0,,,,,,,,,,,,,,,
2277348,57694,CA,6,Orange County ,6059,2020-02-09,37,2.0,4.857142857142857,0,0.0,0.0,,,,,,,,,,,,,,,
2277349,60887,CA,6,Orange County ,6059,2020-02-10,37,0.0,4.857142857142857,0,0.0,0.0,,,,,,,,,,,,,,,
2277350,64080,CA,6,Orange County ,6059,2020-02-11,38,1.0,5.0,0,0.0,0.0,,,,,,,,,,,,,,,
2277351,67273,CA,6,Orange County ,6059,2020-02-12,38,0.0,4.857142857142857,0,0.0,0.0,,,,,,,,,,,,,,,
2277352,70466,CA,6,Orange County ,6059,2020-02-13,39,1.0,5.0,0,0.0,0.0,,,,,,,,,,,,,,,
2277353,73659,CA,6,Orange County ,6059,2020-02-14,39,0.0,4.857142857142857,0,0.0,0.0,,,,,,,,,,,,,,,
2277354,76852,CA,6,Orange County ,6059,2020-02-15,40,1.0,0.7142857142857143,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-15,0.0,0.0,9.0,0.0,0.0,0.0
2277355,80045,CA,6,Orange County ,6059,2020-02-16,40,0.0,0.42857142857142855,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-16,4.0,-1.0,22.0,-3.0,0.0,-1.0
2277356,83238,CA,6,Orange County ,6059,2020-02-17,41,1.0,0.5714285714285714,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-17,10.0,1.0,34.0,-10.0,-33.0,6.0
2277357,86431,CA,6,Orange County ,6059,2020-02-18,42,1.0,0.5714285714285714,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-18,1.0,-2.0,7.0,3.0,2.0,0.0
2277358,89624,CA,6,Orange County ,6059,2020-02-19,42,0.0,0.5714285714285714,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-19,0.0,-2.0,8.0,2.0,2.0,0.0
2277359,92817,CA,6,Orange County ,6059,2020-02-20,43,1.0,0.5714285714285714,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-20,2.0,0.0,9.0,1.0,1.0,0.0
2277360,96010,CA,6,Orange County ,6059,2020-02-21,44,1.0,0.7142857142857143,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-21,1.0,-1.0,4.0,-1.0,1.0,0.0
2277361,99203,CA,6,Orange County ,6059,2020-02-22,44,0.0,0.5714285714285714,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-22,-2.0,-1.0,-23.0,-7.0,1.0,1.0
2277362,102396,CA,6,Orange County ,6059,2020-02-23,46,2.0,0.8571428571428571,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-23,5.0,-1.0,10.0,0.0,1.0,0.0
2277363,105589,CA,6,Orange County ,6059,2020-02-24,47,1.0,0.8571428571428571,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-24,1.0,-2.0,9.0,-1.0,4.0,-1.0
2277364,108782,CA,6,Orange County ,6059,2020-02-25,47,0.0,0.7142857142857143,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-25,4.0,-1.0,14.0,2.0,3.0,0.0
2277365,111975,CA,6,Orange County ,6059,2020-02-26,49,2.0,1.0,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-26,3.0,1.0,14.0,4.0,3.0,-1.0
2277366,115168,CA,6,Orange County ,6059,2020-02-27,50,1.0,1.0,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-27,3.0,2.0,9.0,3.0,2.0,0.0
2277367,118361,CA,6,Orange County ,6059,2020-02-28,51,1.0,1.0,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-28,3.0,3.0,10.0,2.0,3.0,-1.0
2277368,121554,CA,6,Orange County ,6059,2020-02-29,57,6.0,1.8571428571428568,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-02-29,2.0,3.0,14.0,0.0,3.0,-1.0
2277369,124747,CA,6,Orange County ,6059,2020-03-01,59,2.0,1.8571428571428568,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-01,2.0,1.0,-17.0,-5.0,0.0,1.0
2277370,127940,CA,6,Orange County ,6059,2020-03-02,64,5.0,2.4285714285714284,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-02,5.0,4.0,7.0,0.0,4.0,-1.0
2277371,131133,CA,6,Orange County ,6059,2020-03-03,67,3.0,2.8571428571428568,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-03,7.0,5.0,26.0,3.0,3.0,0.0
2277372,134326,CA,6,Orange County ,6059,2020-03-04,72,5.0,3.2857142857142856,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-04,2.0,3.0,11.0,-2.0,2.0,0.0
2277373,137519,CA,6,Orange County ,6059,2020-03-05,80,8.0,4.285714285714286,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-05,2.0,3.0,9.0,-1.0,2.0,0.0
2277374,140712,CA,6,Orange County ,6059,2020-03-06,83,3.0,4.571428571428571,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-06,1.0,2.0,6.0,-3.0,3.0,0.0
2277375,143905,CA,6,Orange County ,6059,2020-03-07,98,15.0,5.857142857142858,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-07,-1.0,3.0,12.0,-4.0,2.0,0.0
2277376,147098,CA,6,Orange County ,6059,2020-03-08,124,26.0,9.285714285714286,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-08,1.0,0.0,17.0,-8.0,0.0,1.0
2277377,150291,CA,6,Orange County ,6059,2020-03-09,132,8.0,9.714285714285714,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-09,3.0,2.0,9.0,-6.0,3.0,0.0
2277378,153484,CA,6,Orange County ,6059,2020-03-10,157,25.0,12.857142857142858,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-10,-1.0,1.0,-30.0,-15.0,-1.0,4.0
2277379,156677,CA,6,Orange County ,6059,2020-03-11,186,29.0,16.285714285714285,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-11,3.0,4.0,7.0,-7.0,1.0,1.0
2277380,159870,CA,6,Orange County ,6059,2020-03-12,206,20.0,18.0,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-12,-5.0,10.0,-40.0,-21.0,-3.0,5.0
2277381,163063,CA,6,Orange County ,6059,2020-03-13,236,30.0,21.857142857142854,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-13,-4.0,39.0,-38.0,-23.0,-5.0,6.0
2277382,166256,CA,6,Orange County ,6059,2020-03-14,272,36.0,24.857142857142854,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-14,-15.0,33.0,-32.0,-23.0,-5.0,6.0
2277383,169449,CA,6,Orange County ,6059,2020-03-15,310,38.0,26.57142857142857,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-15,-18.0,15.0,-7.0,-26.0,-10.0,6.0
2277384,172642,CA,6,Orange County ,6059,2020-03-16,348,38.0,30.857142857142854,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-16,-15.0,18.0,-31.0,-33.0,-20.0,10.0
2277385,175835,CA,6,Orange County ,6059,2020-03-17,417,69.0,37.142857142857146,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-17,-20.0,16.0,-3.0,-30.0,-28.0,14.0
2277386,179028,CA,6,Orange County ,6059,2020-03-18,499,82.0,44.714285714285715,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-18,-32.0,5.0,-15.0,-38.0,-37.0,18.0
2277387,182221,CA,6,Orange County ,6059,2020-03-19,575,76.0,52.714285714285715,0,0.0,0.0,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-19,-36.0,0.0,-32.0,-45.0,-40.0,20.0
2277388,185414,CA,6,Orange County ,6059,2020-03-20,631,56.0,56.42857142857143,1,1.0,0.14285714285714285,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-20,-42.0,-3.0,-22.0,-46.0,-44.0,24.0
2277389,188607,CA,6,Orange County ,6059,2020-03-21,713,82.0,63.0,1,0.0,0.14285714285714285,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-21,-50.0,-12.0,-12.0,-45.0,-36.0,18.0
2277390,191800,CA,6,Orange County ,6059,2020-03-22,760,47.0,64.28571428571429,1,0.0,0.14285714285714285,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-22,-53.0,-23.0,-18.0,-56.0,-41.0,16.0
2277391,194993,CA,6,Orange County ,6059,2020-03-23,809,49.0,65.85714285714286,2,1.0,0.2857142857142857,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-23,-44.0,-19.0,-20.0,-52.0,-50.0,23.0
2277392,198186,CA,6,Orange County ,6059,2020-03-24,875,66.0,65.42857142857143,2,0.0,0.2857142857142857,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-24,-43.0,-20.0,-26.0,-50.0,-51.0,24.0
2277393,201379,CA,6,Orange County ,6059,2020-03-25,929,54.0,61.42857142857143,2,0.0,0.2857142857142857,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-25,-45.0,-20.0,-27.0,-51.0,-51.0,24.0
2277394,204572,CA,6,Orange County ,6059,2020-03-26,991,62.0,59.42857142857143,2,0.0,0.2857142857142857,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-26,-45.0,-18.0,-28.0,-52.0,-52.0,25.0
2277395,207765,CA,6,Orange County ,6059,2020-03-27,1049,58.0,59.714285714285715,3,1.0,0.2857142857142857,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-27,-46.0,-17.0,-25.0,-52.0,-51.0,26.0
2277396,210958,CA,6,Orange County ,6059,2020-03-28,1111,62.0,56.85714285714285,4,1.0,0.42857142857142855,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-28,-52.0,-18.0,-37.0,-50.0,-39.0,19.0
2277397,214151,CA,6,Orange County ,6059,2020-03-29,1162,51.0,57.42857142857143,7,3.0,0.8571428571428571,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-29,-52.0,-24.0,-31.0,-55.0,-44.0,17.0
2277398,217344,CA,6,Orange County ,6059,2020-03-30,1198,36.0,55.57142857142857,7,0.0,0.7142857142857143,US,United States,California,Orange County,,,6059.0,ChIJz_fVVFyS3IARB9bwj2HDpt4,2020-03-30,-44.0,-22.0,-21.0,-51.0,-51.0,23.0
