State,StateFIPS,Date,Total Cases,Incremental Cases,cases moving_avg,Total Deaths,Incremental Deaths,death moving_avg
AL,1,1/22/20,0,,,0,,
AL,1,1/23/20,0,0,,0,0,
AL,1,1/24/20,0,0,,0,0,
AL,1,1/25/20,0,0,,0,0,
AL,1,1/26/20,0,0,,0,0,
AL,1,1/27/20,0,0,,0,0,
AL,1,1/28/20,0,0,,0,0,
AL,1,1/29/20,0,0,0,0,0,0
AL,1,1/30/20,0,0,0,0,0,0
AL,1,1/31/20,0,0,0,0,0,0
AL,1,2/1/20,0,0,0,0,0,0
AL,1,2/2/20,0,0,0,0,0,0
AL,1,2/3/20,0,0,0,0,0,0
AL,1,2/4/20,0,0,0,0,0,0
AL,1,2/5/20,0,0,0,0,0,0
AL,1,2/6/20,0,0,0,0,0,0
AL,1,2/7/20,0,0,0,0,0,0
AL,1,2/8/20,0,0,0,0,0,0
AL,1,2/9/20,0,0,0,0,0,0
AL,1,2/10/20,0,0,0,0,0,0
AL,1,2/11/20,0,0,0,0,0,0
AL,1,2/12/20,0,0,0,0,0,0
AL,1,2/13/20,0,0,0,0,0,0
AL,1,2/14/20,0,0,0,0,0,0
AL,1,2/15/20,0,0,0,0,0,0
AL,1,2/16/20,0,0,0,0,0,0
AL,1,2/17/20,0,0,0,0,0,0
AL,1,2/18/20,0,0,0,0,0,0
AL,1,2/19/20,0,0,0,0,0,0
AL,1,2/20/20,0,0,0,0,0,0
AL,1,2/21/20,0,0,0,0,0,0
AL,1,2/22/20,0,0,0,0,0,0
AL,1,2/23/20,0,0,0,0,0,0
AL,1,2/24/20,0,0,0,0,0,0
AL,1,2/25/20,0,0,0,0,0,0
AL,1,2/26/20,0,0,0,0,0,0
AL,1,2/27/20,0,0,0,0,0,0
AL,1,2/28/20,0,0,0,0,0,0
AL,1,2/29/20,0,0,0,0,0,0
AL,1,3/1/20,0,0,0,0,0,0
AL,1,3/2/20,0,0,0,0,0,0
AL,1,3/3/20,0,0,0,0,0,0
AL,1,3/4/20,0,0,0,0,0,0
AL,1,3/5/20,0,0,0,0,0,0
AL,1,3/6/20,0,0,0,0,0,0
AL,1,3/7/20,0,0,0,0,0,0
AL,1,3/8/20,0,0,0,0,0,0
AL,1,3/9/20,0,0,0,0,0,0
AL,1,3/10/20,0,0,0,0,0,0
AL,1,3/11/20,0,0,0,0,0,0
AL,1,3/12/20,0,0,0,0,0,0
AL,1,3/13/20,5,5,0.714285714,0,0,0
AL,1,3/14/20,11,6,1.571428571,0,0,0
AL,1,3/15/20,22,11,3.142857143,0,0,0
AL,1,3/16/20,29,7,4.142857143,0,0,0
AL,1,3/17/20,39,10,5.571428571,0,0,0
AL,1,3/18/20,51,12,7.285714286,0,0,0
AL,1,3/19/20,78,27,11.14285714,0,0,0
AL,1,3/20/20,106,28,14.42857143,0,0,0
AL,1,3/21/20,131,25,17.14285714,0,0,0
AL,1,3/22/20,167,36,20.71428571,0,0,0
AL,1,3/23/20,196,29,23.85714286,0,0,0
AL,1,3/24/20,242,46,29,0,0,0
AL,1,3/25/20,386,144,47.85714286,1,1,0.142857143
AL,1,3/26/20,531,145,64.71428571,1,0,0.142857143
AL,1,3/27/20,639,108,76.14285714,2,1,0.285714286
AL,1,3/28/20,717,78,83.71428571,3,1,0.428571429
AL,1,3/29/20,825,108,94,4,1,0.571428571
AL,1,3/30/20,941,116,106.4285714,6,2,0.857142857
AL,1,3/31/20,997,56,107.8571429,13,7,1.857142857
AL,1,4/1/20,1106,109,102.8571429,16,3,2.142857143
AL,1,4/2/20,1270,164,105.5714286,17,1,2.285714286
AL,1,4/3/20,1534,264,127.8571429,21,4,2.714285714
AL,1,4/4/20,1632,98,130.7142857,26,5,3.285714286
AL,1,4/5/20,1840,208,145,31,5,3.857142857
AL,1,4/6/20,2003,163,151.7142857,32,1,3.714285714
AL,1,4/7/20,2197,194,171.4285714,39,7,3.714285714
AL,1,4/8/20,2497,300,198.7142857,48,9,4.571428571
AL,1,4/9/20,2838,341,224,48,0,4.428571429
AL,1,4/10/20,3007,169,210.4285714,58,10,5.285714286
AL,1,4/11/20,3262,255,232.8571429,60,2,4.857142857
AL,1,4/12/20,3581,319,248.7142857,61,1,4.285714286
AL,1,4/13/20,3801,220,256.8571429,61,0,4.142857143
AL,1,4/14/20,3951,150,250.5714286,73,12,4.857142857
AL,1,4/15/20,4237,286,248.5714286,75,2,3.857142857
AL,1,4/16/20,4400,163,223.1428571,82,7,4.857142857
AL,1,4/17/20,4515,115,215.4285714,96,14,5.428571429
AL,1,4/18/20,4719,204,208.1428571,110,14,7.142857143
AL,1,4/19/20,4897,178,188,112,2,7.285714286
AL,1,4/20/20,5074,177,181.8571429,112,0,7.285714286
AL,1,4/21/20,5317,243,195.1428571,141,29,9.714285714
AL,1,4/22/20,5598,281,194.4285714,174,33,14.14285714
AL,1,4/23/20,5825,227,203.5714286,194,20,16
AL,1,4/24/20,6026,201,215.8571429,208,14,16
AL,1,4/25/20,6213,187,213.4285714,212,4,14.57142857
AL,1,4/26/20,6417,204,217.1428571,218,6,15.14285714
AL,1,4/27/20,6537,120,209,227,9,16.42857143
AL,1,4/28/20,6744,207,203.8571429,240,13,14.14285714
AL,1,4/29/20,6916,172,188.2857143,261,21,12.42857143
AL,1,4/30/20,7063,147,176.8571429,269,8,10.71428571
AL,1,5/1/20,7294,231,181.1428571,287,18,11.28571429
AL,1,5/2/20,7611,317,199.7142857,287,0,10.71428571
AL,1,5/3/20,7885,274,209.7142857,289,2,10.14285714
AL,1,5/4/20,8110,225,224.7142857,297,8,10
AL,1,5/5/20,8436,326,241.7142857,314,17,10.57142857
AL,1,5/6/20,8691,255,253.5714286,341,27,11.42857143
AL,1,5/7/20,9046,355,283.2857143,368,27,14.14285714
AL,1,5/8/20,9384,338,298.5714286,381,13,13.42857143
AL,1,5/9/20,9668,284,293.8571429,388,7,14.42857143
AL,1,5/10/20,9889,221,286.2857143,391,3,14.57142857
AL,1,5/11/20,10164,275,293.4285714,401,10,14.85714286
AL,1,5/12/20,10468,304,290.2857143,438,37,17.71428571
AL,1,5/13/20,10699,231,286.8571429,448,10,15.28571429
AL,1,5/14/20,11094,395,292.5714286,470,22,14.57142857
AL,1,5/15/20,11387,293,286.1428571,482,12,14.42857143
AL,1,5/16/20,11671,284,286.1428571,482,0,13.42857143
AL,1,5/17/20,11768,97,268.4285714,485,3,13.42857143
AL,1,5/18/20,12078,310,273.4285714,486,1,12.14285714
AL,1,5/19/20,12374,296,272.2857143,500,14,8.857142857
AL,1,5/20/20,13049,675,335.7142857,522,22,10.57142857
AL,1,5/21/20,13410,361,330.8571429,529,7,8.428571429
AL,1,5/22/20,13670,260,326.1428571,541,12,8.428571429
AL,1,5/23/20,14152,482,354.4285714,551,10,9.857142857
AL,1,5/24/20,14507,355,391.2857143,558,7,10.42857143
AL,1,5/25/20,15194,687,445.1428571,566,8,11.42857143
AL,1,5/26/20,15648,454,467.7142857,580,14,11.42857143
AL,1,5/27/20,16029,381,425.7142857,583,3,8.714285714
AL,1,5/28/20,16553,524,449,605,22,10.85714286
AL,1,5/29/20,17031,478,480.1428571,610,5,9.857142857
AL,1,5/30/20,17358,327,458,618,8,9.571428571
AL,1,5/31/20,17849,491,477.4285714,629,11,10.14285714
AL,1,6/1/20,18246,397,436,643,14,11
AL,1,6/2/20,18427,181,397,650,7,10
AL,1,6/3/20,18553,126,360.5714286,650,0,9.571428571
AL,1,6/4/20,18766,213,316.1428571,651,1,6.571428571
AL,1,6/5/20,19073,307,291.7142857,670,19,8.571428571
AL,1,6/6/20,19709,636,335.8571429,684,14,9.428571429
AL,1,6/7/20,20166,457,331,687,3,8.285714286
AL,1,6/8/20,20590,424,334.8571429,712,25,9.857142857
AL,1,6/9/20,21071,481,377.7142857,723,11,10.42857143
AL,1,6/10/20,21626,555,439,739,16,12.71428571
AL,1,6/11/20,22474,848,529.7142857,750,11,14.14285714
AL,1,6/12/20,23333,859,608.5714286,764,14,13.42857143
AL,1,6/13/20,24220,887,644.4285714,768,4,12
AL,1,6/14/20,25235,1015,724.1428571,768,0,11.57142857
AL,1,6/15/20,26272,1037,811.7142857,774,6,8.857142857
AL,1,6/16/20,26912,640,834.4285714,785,11,8.857142857
AL,1,6/17/20,27312,400,812.2857143,790,5,7.285714286
AL,1,6/18/20,28206,894,818.8571429,809,19,8.428571429
AL,1,6/19/20,29002,796,809.8571429,821,12,8.142857143
AL,1,6/20/20,29549,547,761.2857143,838,17,10
AL,1,6/21/20,30021,472,683.7142857,839,1,10.14285714
AL,1,6/22/20,30453,432,597.2857143,840,1,9.428571429
AL,1,6/23/20,31097,644,597.8571429,864,24,11.28571429
AL,1,6/24/20,32064,967,678.8571429,889,25,14.14285714
AL,1,6/25/20,33206,1142,714.2857143,895,6,12.28571429
AL,1,6/26/20,34180,974,739.7142857,906,11,12.14285714
AL,1,6/27/20,35077,897,789.7142857,918,12,11.42857143
AL,1,6/28/20,35430,353,772.7142857,918,0,11.28571429
AL,1,6/29/20,37174,1744,960.1428571,929,11,12.71428571
AL,1,6/30/20,38045,871,992.5714286,948,19,12
AL,1,7/1/20,38962,917,985.4285714,972,24,11.85714286
AL,1,7/2/20,40111,1149,986.4285714,985,13,12.85714286
AL,1,7/3/20,41864,1753,1097.714286,1006,21,14.28571429
AL,1,7/4/20,42862,998,1112.142857,1007,1,12.71428571
AL,1,7/5/20,43951,1089,1217.285714,1007,0,12.71428571
AL,1,7/6/20,44874,923,1100,1007,0,11.14285714
AL,1,7/7/20,45784,910,1105.571429,1033,26,12.14285714
AL,1,7/8/20,46962,1178,1142.857143,1058,25,12.28571429
AL,1,7/9/20,49173,2211,1294.571429,1068,10,11.85714286
AL,1,7/10/20,50508,1335,1234.857143,1104,36,14
AL,1,7/11/20,51947,1439,1297.857143,1114,10,15.28571429
AL,1,7/12/20,53587,1640,1376.571429,1121,7,16.28571429
AL,1,7/13/20,55545,1958,1524.428571,1123,2,16.57142857
AL,1,7/14/20,57254,1709,1638.571429,1164,41,18.71428571
AL,1,7/15/20,59067,1813,1729.285714,1211,47,21.85714286
AL,1,7/16/20,61088,2021,1702.142857,1230,19,23.14285714
AL,1,7/17/20,63091,2003,1797.571429,1264,34,22.85714286
AL,1,7/18/20,65234,2143,1898.142857,1285,21,24.42857143
AL,1,7/19/20,67011,1777,1917.714286,1286,1,23.57142857
AL,1,7/20/20,68891,1880,1906.571429,1291,5,24
AL,1,7/21/20,70357,1466,1871.857143,1303,12,19.85714286
AL,1,7/22/20,71812,1455,1820.714286,1362,59,21.57142857
AL,1,7/23/20,74211,2399,1874.714286,1393,31,23.28571429
AL,1,7/24/20,76005,1794,1844.857143,1436,43,24.57142857
AL,1,7/25/20,78130,2125,1842.285714,1453,17,24
AL,1,7/26/20,79294,1164,1754.714286,1471,18,26.42857143
AL,1,7/27/20,81115,1821,1746.285714,1491,20,28.57142857
AL,1,7/28/20,82292,1177,1705,1491,0,26.85714286
AL,1,7/29/20,82366,74,1507.714286,1538,47,25.14285714
AL,1,7/30/20,85760,3394,1649.857143,1565,27,24.57142857
AL,1,7/31/20,87721,1961,1673.714286,1580,15,20.57142857
AL,1,8/1/20,89347,1626,1602.428571,1603,23,21.42857143
AL,1,8/2/20,91442,2095,1735.428571,1627,24,22.28571429
AL,1,8/3/20,92658,1216,1649,1633,6,20.28571429
AL,1,8/4/20,93702,1044,1630,1666,33,25
AL,1,8/5/20,94654,952,1755.428571,1694,28,22.28571429
AL,1,8/6/20,96592,1938,1547.428571,1712,18,21
AL,1,8/7/20,98299,1707,1511.142857,1733,21,21.85714286
AL,1,8/8/20,100172,1873,1546.428571,1752,19,21.28571429
AL,1,8/9/20,101331,1159,1412.714286,1765,13,19.71428571
AL,1,8/10/20,103008,1677,1478.571429,1794,29,23
AL,1,8/11/20,103849,841,1449.571429,1843,49,25.28571429
AL,1,8/12/20,104784,935,1447.142857,1877,34,26.14285714
AL,1,8/13/20,105557,773,1280.714286,1884,7,24.57142857
AL,1,8/14/20,106309,752,1144.285714,1888,4,22.14285714
AL,1,8/15/20,107580,1271,1058.285714,1891,3,19.85714286
AL,1,8/16/20,108433,853,1014.571429,1893,2,18.28571429
AL,1,8/17/20,109004,571,856.5714286,1918,25,17.71428571
AL,1,8/18/20,110358,1354,929.8571429,1929,11,12.28571429
AL,1,8/19/20,111462,1104,954,1939,10,8.857142857
AL,1,8/20/20,112402,940,977.8571429,1968,29,12
AL,1,8/21/20,112770,368,923,1988,20,14.28571429
AL,1,8/22/20,114532,1762,993.1428571,2010,22,17
AL,1,8/23/20,115060,528,946.7142857,2012,2,17
AL,1,8/24/20,116707,1647,1100.428571,2023,11,15
AL,1,8/25/20,117240,533,983.1428571,2035,12,15.14285714
AL,1,8/26/20,119250,2010,1112.571429,2043,8,14.85714286
AL,1,8/27/20,121023,1773,1231.571429,2074,31,15.14285714
AL,1,8/28/20,122183,1160,1344.714286,2105,31,16.71428571
AL,1,8/29/20,123889,1706,1336.714286,2150,45,20
AL,1,8/30/20,125235,1346,1453.571429,2159,9,21
AL,1,8/31/20,126058,823,1335.857143,2179,20,22.28571429
AL,1,9/1/20,127615,1557,1482.142857,2197,18,23.14285714
AL,1,9/2/20,128238,623,1284,2214,17,24.42857143
AL,1,9/3/20,129284,1046,1180.142857,2230,16,22.28571429
AL,1,9/4/20,130393,1109,1172.857143,2262,32,22.42857143
AL,1,9/5/20,131803,1410,1130.571429,2269,7,17
AL,1,9/6/20,132313,510,1011.142857,2270,1,15.85714286
AL,1,9/7/20,132972,659,987.7142857,2270,0,13
AL,1,9/8/20,133605,633,855.7142857,2271,1,10.57142857
AL,1,9/9/20,134416,811,882.5714286,2278,7,9.142857143
AL,1,9/10/20,135565,1149,897.2857143,2298,20,9.714285714
AL,1,9/11/20,136703,1138,901.4285714,2328,30,9.428571429
AL,1,9/12/20,137646,943,834.7142857,2344,16,10.71428571
AL,1,9/13/20,138753,1107,920,2345,1,10.71428571
AL,1,9/14/20,139454,701,926,2348,3,11.14285714
AL,1,9/15/20,140156,702,935.8571429,2382,34,15.85714286
AL,1,9/16/20,141081,925,952.1428571,2387,5,15.57142857
AL,1,9/17/20,141756,675,884.4285714,2394,7,13.71428571
AL,1,9/18/20,142861,1105,879.7142857,2419,25,13
AL,1,9/19/20,144164,1303,931.1428571,2428,9,12
AL,1,9/20/20,144960,796,886.7142857,2428,0,11.85714286
AL,1,9/21/20,145776,816,903.1428571,2430,2,11.71428571
AL,1,9/22/20,146578,802,917.4285714,2446,16,9.142857143
AL,1,9/23/20,147153,575,867.4285714,2479,33,13.14285714
AL,1,9/24/20,148227,1074,924.4285714,2484,5,12.85714286
AL,1,9/25/20,150650,2423,1112.714286,2496,12,11
AL,1,9/26/20,151587,937,1060.428571,2497,1,9.857142857
AL,1,9/27/20,152317,730,1051,2497,0,9.857142857
AL,1,9/28/20,152976,659,1028.571429,2497,0,9.571428571
AL,1,9/29/20,153550,574,996,2511,14,9.285714286
AL,1,9/30/20,154699,1149,1078,2530,19,7.285714286
AL,1,10/1/20,155744,1045,1073.857143,2541,11,8.142857143
AL,1,10/2/20,156698,954,864,2549,8,7.571428571
AL,1,10/3/20,158380,1682,970.4285714,2557,8,8.571428571
AL,1,10/4/20,159169,789,978.8571429,2557,0,8.571428571
AL,1,10/5/20,159713,544,962.4285714,2557,0,8.571428571
AL,1,10/6/20,160476,763,989.4285714,2580,23,9.857142857
AL,1,10/7/20,161415,939,959.4285714,2601,21,10.14285714
AL,1,10/8/20,161975,560,890.1428571,2636,35,13.57142857
AL,1,10/9/20,163464,1489,966.5714286,2652,16,14.71428571
AL,1,10/10/20,164525,1061,877.8571429,2664,12,15.28571429
AL,1,10/11/20,165342,817,881.8571429,2664,0,15.28571429
AL,1,10/12/20,166076,734,909,2665,1,15.42857143
AL,1,10/13/20,167188,1112,958.8571429,2665,0,12.14285714
AL,1,10/14/20,167975,787,937.1428571,2706,41,15
AL,1,10/15/20,169161,1186,1026.571429,2754,48,16.85714286
AL,1,10/16/20,170373,1212,987,2784,30,18.85714286
AL,1,10/17/20,171662,1289,1019.571429,2786,2,17.42857143
AL,1,10/18/20,172626,964,1040.571429,2786,0,17.42857143
AL,1,10/19/20,173483,857,1058.142857,2787,1,17.42857143
AL,1,10/20/20,174527,1044,1048.428571,2803,16,19.71428571
AL,1,10/21/20,175673,1146,1099.714286,2827,24,17.28571429
AL,1,10/22/20,177064,1391,1129,2841,14,12.42857143
AL,1,10/23/20,180916,3852,1506.142857,2857,16,10.42857143
AL,1,10/24/20,183276,2360,1659.142857,2863,6,11
AL,1,10/25/20,184355,1079,1675.571429,2863,0,11
AL,1,10/26/20,185320,965,1691,2863,0,10.85714286
AL,1,10/27/20,186436,1116,1701.285714,2890,27,12.42857143
AL,1,10/28/20,187705,1269,1718.857143,2909,19,11.71428571
AL,1,10/29/20,189149,1444,1726.428571,2911,2,10
AL,1,10/30/20,190496,1347,1368.571429,2930,19,10.42857143
AL,1,10/31/20,192285,1789,1287,2964,34,14.42857143
AL,1,11/1/20,193983,1698,1375.428571,2970,6,15.28571429
AL,1,11/2/20,194885,902,1366.428571,2970,0,15.28571429
AL,1,11/3/20,195929,1044,1356.142857,2983,13,13.28571429
AL,1,11/4/20,197777,1848,1438.857143,3001,18,13.14285714
AL,1,11/5/20,199158,1381,1429.857143,3021,20,15.71428571
AL,1,11/6/20,200713,1555,1459.571429,3046,25,16.57142857
AL,1,11/7/20,202482,1769,1456.714286,3079,33,16.42857143
AL,1,11/8/20,203687,1205,1386.285714,3080,1,15.71428571
AL,1,11/9/20,204856,1169,1424.428571,3080,0,15.71428571
AL,1,11/10/20,206567,1711,1519.714286,3116,36,19
AL,1,11/11/20,208636,2069,1551.285714,3197,81,28
AL,1,11/12/20,210637,2001,1639.857143,3209,12,26.85714286
AL,1,11/13/20,213617,2980,1843.428571,3229,20,26.14285714
AL,1,11/14/20,215843,2226,1908.714286,3244,15,23.57142857
AL,1,11/15/20,217822,1979,2019.285714,3246,2,23.71428571
AL,1,11/16/20,219232,1410,2053.714286,3247,1,23.85714286
AL,1,11/17/20,220846,1614,2039.857143,3296,49,25.71428571
AL,1,11/18/20,223486,2640,2121.428571,3342,46,20.71428571
AL,1,11/19/20,225910,2424,2181.857143,3413,71,29.14285714
AL,1,11/20/20,228373,2463,2108,3446,33,31
AL,1,11/21/20,230708,2335,2123.571429,3455,9,30.14285714
AL,1,11/22/20,232506,1798,2097.714286,3455,0,29.85714286
AL,1,11/23/20,234078,1572,2120.857143,3457,2,30
AL,1,11/24/20,236865,2787,2288.428571,3470,13,24.85714286
AL,1,11/25/20,239318,2453,2261.714286,3530,60,26.85714286
AL,1,11/26/20,241957,2639,2292.428571,3570,40,22.42857143
AL,1,11/27/20,242874,917,2071.571429,3570,0,17.71428571
AL,1,11/28/20,244993,2119,2040.714286,3570,0,16.42857143
AL,1,11/29/20,247229,2236,2103.285714,3575,5,17.14285714
AL,1,11/30/20,249523,2294,2206.428571,3576,1,17
AL,1,12/1/20,252900,3377,2290.714286,3635,59,23.57142857
AL,1,12/2/20,256828,3928,2501.428571,3709,74,25.57142857
AL,1,12/3/20,260359,3531,2628.857143,3774,65,29.14285714
AL,1,12/4/20,264199,3840,3046.428571,3829,55,37
AL,1,12/5/20,267589,3390,3228,3874,45,43.42857143
AL,1,12/6/20,269877,2288,3235.428571,3886,12,44.42857143
AL,1,12/7/20,272228,2351,3243.571429,3889,3,44.71428571
AL,1,12/8/20,276665,4437,3395,3938,49,43.28571429
AL,1,12/9/20,280187,3522,3337,3982,44,39
AL,1,12/10/20,284922,4735,3509,4029,47,36.42857143
AL,1,12/11/20,288775,3853,3510.857143,4079,50,35.71428571
AL,1,12/12/20,288775,0,3026.571429,4079,0,29.28571429
AL,1,12/13/20,288775,0,2699.714286,4079,0,27.57142857
AL,1,12/14/20,297887,9112,3665.571429,4099,20,30
AL,1,12/15/20,301533,3646,3552.571429,4124,25,26.57142857
AL,1,12/16/20,305640,4107,3636.142857,4197,73,30.71428571
AL,1,12/17/20,310335,4695,3630.428571,4253,56,32
AL,1,12/18/20,315683,5348,3844,4296,43,31
AL,1,12/19/20,319904,4221,4447,4389,93,44.28571429
AL,1,12/20/20,322451,2547,4810.857143,4389,0,44.28571429
AL,1,12/21/20,324832,2381,3849.285714,4389,0,41.42857143
AL,1,12/22/20,329811,4979,4039.714286,4452,63,46.85714286
AL,1,12/23/20,334569,4758,4132.714286,4587,135,55.71428571
AL,1,12/24/20,338801,4232,4066.571429,4676,89,60.42857143
AL,1,12/25/20,342424,3623,3820.142857,4680,4,54.85714286
AL,1,12/26/20,343456,1032,3364.571429,4683,3,42
AL,1,12/27/20,345628,2172,3311,4689,6,42.85714286
AL,1,12/28/20,347894,2266,3294.571429,4710,21,45.85714286
AL,1,12/29/20,351804,3910,3141.857143,4737,27,40.71428571
AL,1,12/30/20,356820,5016,3178.714286,4774,37,26.71428571
AL,1,12/31/20,361226,4406,3203.571429,4827,53,21.57142857
AL,1,1/1/21,365747,4521,3331.857143,4871,44,27.28571429
AL,1,1/2/21,369458,3711,3714.571429,4871,0,26.85714286
AL,1,1/3/21,371934,2476,3758,4872,1,26.14285714
AL,1,1/4/21,374094,2160,3742.857143,4877,5,23.85714286
AL,1,1/5/21,379593,5499,3969.857143,4885,8,21.14285714
AL,1,1/6/21,384184,4591,3909.142857,4992,107,31.14285714
AL,1,1/7/21,389230,5046,4000.571429,5078,86,35.85714286
AL,1,1/8/21,394287,5057,4077.142857,5191,113,45.71428571
AL,1,1/9/21,399150,4863,4241.714286,5299,108,61.14285714
AL,1,1/10/21,401900,2750,4280.857143,5333,34,65.85714286
AL,1,1/11/21,403997,2097,4271.857143,5346,13,67
AL,1,1/12/21,407840,3843,4035.285714,5568,222,97.57142857
AL,1,1/13/21,410985,3145,3828.714286,5753,185,108.7142857
AL,1,1/14/21,414576,3591,3620.857143,5941,188,123.2857143
AL,1,1/15/21,417528,2952,3320.142857,6027,86,119.4285714
AL,1,1/16/21,420681,3153,3075.857143,6118,91,117
AL,1,1/17/21,422598,1917,2956.857143,6118,0,112.1428571
AL,1,1/18/21,424027,1429,2861.428571,6119,1,110.4285714
AL,1,1/19/21,426543,2516,2671.857143,6125,6,79.57142857
AL,1,1/20/21,429655,3112,2667.142857,6282,157,75.57142857
AL,1,1/21/21,432536,2881,2565.714286,6379,97,62.57142857
AL,1,1/22/21,436087,3551,2651.285714,6486,107,65.57142857
AL,1,1/23/21,439442,3355,2680.142857,6657,171,77
AL,1,1/24/21,441170,1728,2653.142857,6660,3,77.42857143
AL,1,1/25/21,443009,1839,2711.714286,6662,2,77.57142857
AL,1,1/26/21,445908,2899,2766.428571,6895,233,110
AL,1,1/27/21,449086,3178,2775.857143,7170,275,126.8571429
AL,1,1/28/21,452730,3644,2884.857143,7338,168,137
AL,1,1/29/21,455582,2852,2785,7564,226,154
AL,1,1/30/21,455582,0,2305.714286,7566,2,129.8571429
AL,1,1/31/21,459639,4057,2638.428571,7688,122,146.8571429
AL,1,2/1/21,460860,1221,2550.142857,7688,0,146.5714286
