,State,StateFIPS,Date,Total Cases,Incremental Cases,cases moving_avg
1,AL,1,2020-01-22,0,,
52,AL,1,2020-01-23,0,0.0,
103,AL,1,2020-01-24,0,0.0,
154,AL,1,2020-01-25,0,0.0,
205,AL,1,2020-01-26,0,0.0,
256,AL,1,2020-01-27,0,0.0,
307,AL,1,2020-01-28,0,0.0,
358,AL,1,2020-01-29,0,0.0,0.0
409,AL,1,2020-01-30,0,0.0,0.0
460,AL,1,2020-01-31,0,0.0,0.0
511,AL,1,2020-02-01,0,0.0,0.0
562,AL,1,2020-02-02,0,0.0,0.0
613,AL,1,2020-02-03,0,0.0,0.0
664,AL,1,2020-02-04,0,0.0,0.0
715,AL,1,2020-02-05,0,0.0,0.0
766,AL,1,2020-02-06,0,0.0,0.0
817,AL,1,2020-02-07,0,0.0,0.0
868,AL,1,2020-02-08,0,0.0,0.0
919,AL,1,2020-02-09,0,0.0,0.0
970,AL,1,2020-02-10,0,0.0,0.0
1021,AL,1,2020-02-11,0,0.0,0.0
1072,AL,1,2020-02-12,0,0.0,0.0
1123,AL,1,2020-02-13,0,0.0,0.0
1174,AL,1,2020-02-14,0,0.0,0.0
1225,AL,1,2020-02-15,0,0.0,0.0
1276,AL,1,2020-02-16,0,0.0,0.0
1327,AL,1,2020-02-17,0,0.0,0.0
1378,AL,1,2020-02-18,0,0.0,0.0
1429,AL,1,2020-02-19,0,0.0,0.0
1480,AL,1,2020-02-20,0,0.0,0.0
1531,AL,1,2020-02-21,0,0.0,0.0
1582,AL,1,2020-02-22,0,0.0,0.0
1633,AL,1,2020-02-23,0,0.0,0.0
1684,AL,1,2020-02-24,0,0.0,0.0
1735,AL,1,2020-02-25,0,0.0,0.0
1786,AL,1,2020-02-26,0,0.0,0.0
1837,AL,1,2020-02-27,0,0.0,0.0
1888,AL,1,2020-02-28,0,0.0,0.0
1939,AL,1,2020-02-29,0,0.0,0.0
1990,AL,1,2020-03-01,0,0.0,0.0
2041,AL,1,2020-03-02,0,0.0,0.0
2092,AL,1,2020-03-03,0,0.0,0.0
2143,AL,1,2020-03-04,0,0.0,0.0
2194,AL,1,2020-03-05,0,0.0,0.0
2245,AL,1,2020-03-06,0,0.0,0.0
2296,AL,1,2020-03-07,0,0.0,0.0
2347,AL,1,2020-03-08,0,0.0,0.0
2398,AL,1,2020-03-09,0,0.0,0.0
2449,AL,1,2020-03-10,0,0.0,0.0
2500,AL,1,2020-03-11,0,0.0,0.0
2551,AL,1,2020-03-12,0,0.0,0.0
2602,AL,1,2020-03-13,5,5.0,0.7142857142857143
2653,AL,1,2020-03-14,11,6.0,1.5714285714285714
2704,AL,1,2020-03-15,22,11.0,3.142857142857143
2755,AL,1,2020-03-16,29,7.0,4.142857142857143
2806,AL,1,2020-03-17,39,10.0,5.571428571428571
2857,AL,1,2020-03-18,51,12.0,7.285714285714286
2908,AL,1,2020-03-19,78,27.0,11.142857142857142
2959,AL,1,2020-03-20,106,28.0,14.428571428571429
3010,AL,1,2020-03-21,131,25.0,17.142857142857142
3061,AL,1,2020-03-22,167,36.0,20.714285714285715
3112,AL,1,2020-03-23,196,29.0,23.857142857142858
3163,AL,1,2020-03-24,242,46.0,29.0
3214,AL,1,2020-03-25,386,144.0,47.857142857142854
3265,AL,1,2020-03-26,531,145.0,64.71428571428571
3316,AL,1,2020-03-27,639,108.0,76.14285714285714
3367,AL,1,2020-03-28,717,78.0,83.71428571428571
3418,AL,1,2020-03-29,825,108.0,94.0
3469,AL,1,2020-03-30,941,116.0,106.42857142857143
3520,AL,1,2020-03-31,997,56.0,107.85714285714286
3571,AL,1,2020-04-01,1106,109.0,102.85714285714286
3622,AL,1,2020-04-02,1270,164.0,105.57142857142857
3673,AL,1,2020-04-03,1534,264.0,127.85714285714286
3724,AL,1,2020-04-04,1632,98.0,130.71428571428572
3775,AL,1,2020-04-05,1840,208.0,145.0
3826,AL,1,2020-04-06,2003,163.0,151.71428571428572
3877,AL,1,2020-04-07,2197,194.0,171.42857142857142
3928,AL,1,2020-04-08,2497,300.0,198.71428571428572
3979,AL,1,2020-04-09,2838,341.0,224.0
4030,AL,1,2020-04-10,3007,169.0,210.42857142857142
4081,AL,1,2020-04-11,3262,255.0,232.85714285714286
4132,AL,1,2020-04-12,3581,319.0,248.71428571428572
4183,AL,1,2020-04-13,3801,220.0,256.85714285714283
4234,AL,1,2020-04-14,3951,150.0,250.57142857142858
4285,AL,1,2020-04-15,4237,286.0,248.57142857142858
4336,AL,1,2020-04-16,4400,163.0,223.14285714285714
4387,AL,1,2020-04-17,4515,115.0,215.42857142857142
4438,AL,1,2020-04-18,4719,204.0,208.14285714285714
4489,AL,1,2020-04-19,4897,178.0,188.0
4540,AL,1,2020-04-20,5074,177.0,181.85714285714286
4591,AL,1,2020-04-21,5317,243.0,195.14285714285714
4642,AL,1,2020-04-22,5598,281.0,194.42857142857142
4693,AL,1,2020-04-23,5825,227.0,203.57142857142858
4744,AL,1,2020-04-24,6026,201.0,215.85714285714286
4795,AL,1,2020-04-25,6213,187.0,213.42857142857142
4846,AL,1,2020-04-26,6417,204.0,217.14285714285714
4897,AL,1,2020-04-27,6537,120.0,209.0
4948,AL,1,2020-04-28,6744,207.0,203.85714285714286
